name,module,stable_url,http_status,resolved_url,latest_url,latest_http_status
rotate,collections,https://arturo-lang.io/documentation/library/collections/rotate,200,https://arturo-lang.io/documentation/library/collections/rotate,https://arturo-lang.io/latest/documentation/library/collections/rotate,200
sample,collections,https://arturo-lang.io/documentation/library/collections/sample,200,https://arturo-lang.io/documentation/library/collections/sample,https://arturo-lang.io/latest/documentation/library/collections/sample,200
set,collections,https://arturo-lang.io/documentation/library/collections/set,200,https://arturo-lang.io/documentation/library/collections/set,https://arturo-lang.io/latest/documentation/library/collections/set,200
shuffle,collections,https://arturo-lang.io/documentation/library/collections/shuffle,200,https://arturo-lang.io/documentation/library/collections/shuffle,https://arturo-lang.io/latest/documentation/library/collections/shuffle,200
size,collections,https://arturo-lang.io/documentation/library/collections/size,200,https://arturo-lang.io/documentation/library/collections/size,https://arturo-lang.io/latest/documentation/library/collections/size,200
slice,collections,https://arturo-lang.io/documentation/library/collections/slice,200,https://arturo-lang.io/documentation/library/collections/slice,https://arturo-lang.io/latest/documentation/library/collections/slice,200
sort,collections,https://arturo-lang.io/documentation/library/collections/sort,200,https://arturo-lang.io/documentation/library/collections/sort,https://arturo-lang.io/latest/documentation/library/collections/sort,200
sorted?,collections,https://arturo-lang.io/documentation/library/collections/sorted-,200,https://arturo-lang.io/documentation/library/collections/sorted-,https://arturo-lang.io/latest/documentation/library/collections/sorted-,200
split,collections,https://arturo-lang.io/documentation/library/collections/split,200,https://arturo-lang.io/documentation/library/collections/split,https://arturo-lang.io/latest/documentation/library/collections/split,200
squeeze,collections,https://arturo-lang.io/documentation/library/collections/squeeze,200,https://arturo-lang.io/documentation/library/collections/squeeze,https://arturo-lang.io/latest/documentation/library/collections/squeeze,200
take,collections,https://arturo-lang.io/documentation/library/collections/take,200,https://arturo-lang.io/documentation/library/collections/take,https://arturo-lang.io/latest/documentation/library/collections/take,200
tally,collections,https://arturo-lang.io/documentation/library/collections/tally,200,https://arturo-lang.io/documentation/library/collections/tally,https://arturo-lang.io/latest/documentation/library/collections/tally,200
unique,collections,https://arturo-lang.io/documentation/library/collections/unique,200,https://arturo-lang.io/documentation/library/collections/unique,https://arturo-lang.io/latest/documentation/library/collections/unique,200
values,collections,https://arturo-lang.io/documentation/library/collections/values,200,https://arturo-lang.io/documentation/library/collections/values,https://arturo-lang.io/latest/documentation/library/collections/values,200
zero?,collections,https://arturo-lang.io/documentation/library/collections/zero-,200,https://arturo-lang.io/documentation/library/collections/zero-,https://arturo-lang.io/latest/documentation/library/collections/zero-,200
blend,colors,https://arturo-lang.io/documentation/library/colors/blend,200,https://arturo-lang.io/documentation/library/colors/blend,https://arturo-lang.io/latest/documentation/library/colors/blend,200
darken,colors,https://arturo-lang.io/documentation/library/colors/darken,200,https://arturo-lang.io/documentation/library/colors/darken,https://arturo-lang.io/latest/documentation/library/colors/darken,200
desaturate,colors,https://arturo-lang.io/documentation/library/colors/desaturate,200,https://arturo-lang.io/documentation/library/colors/desaturate,https://arturo-lang.io/latest/documentation/library/colors/desaturate,200
grayscale,colors,https://arturo-lang.io/documentation/library/colors/grayscale,200,https://arturo-lang.io/documentation/library/colors/grayscale,https://arturo-lang.io/latest/documentation/library/colors/grayscale,200
invert,colors,https://arturo-lang.io/documentation/library/colors/invert,200,https://arturo-lang.io/documentation/library/colors/invert,https://arturo-lang.io/latest/documentation/library/colors/invert,200
